kode_klasifikasi;jenis_klasifikasi;jenis_arsip;waktu_aktif_num;waktu_aktif_ket;waktu_inaktif_num;waktu_inaktif_ket;nasib_akhir;nasib_akhir_ket
PK 04.03;Substantif;"Diversi : Naskah-naskah yang berkaitan dengan kegiatan pelaksanaan diversi (pengalihan penyelesaian perkara Anak dari proses peradilan pidana ke proses di luar peradilan pidana) yang dilaksanakan oleh Pembimbing Kemasyarakatan pada setiap
tingkat pemeriksaan (Penyidikan, Penuntutan dan Peradilan)
";1;;1;;Musnah;
PK 04.04;Substantif;"Pembimbingan : Naskah-naskah yang berkaitan dengan kegiatan Bimbingan Kepribadian Klien, Bimbingan Kemandirian, Bimbingan Klien/Home  Visit,  Bimbingan  Penyuluhan/Konseling,  dan
Keluarga Asuh/Anak Asuh
";1;;1;;Musnah;
PK 04.05;Substantif;"Pembimbingan Lanjutan : Naskah-naskah yang berkaitan dengan kegiatan Bimbingan Lanjutan
";1;;1;;Musnah;
PK 05.01;Substantif;"Pembinaan  Kepribadian  dan  Pendidikan  Narapidana  dan
Anak : Naskah-naskah yang berkaitan dengan kegiatan pembinaan kepribadian narapidana dan anak seperti Keagamaan, Pendidikan Umum/ Kejuruan, Pendidikan Tinggi, Kepramukaan, Kesenian, Olahraga, Program Deradikalisasi
Napiter, dan Program NKRI Napiter.

";1;;1;;Musnah;
PK 05.02;Substantif;"Bimbingan Kepribadian dan Keterampilan Tahanan : Naskah-naskah yang berkaitan dengan kegiatan bimbingan kepribadian dan keterampilan Tahanan.
";1;;1;;Musnah;
PK 05.03;Substantif;"Pelatihan Keterampilan Narapidana dan Anak : Naskah-naskah yang berkaitan dengan kegiatan pelatihan keterampilan bersertifikat (agribisnis, manufaktur, dan jasa), pendidikan vokasi bidang agribisnis, manufaktur, dan jasa, kerja sama dengan mitra terkait latihan keterampilan  di
Lapas/LPKA untuk Narapidana dan Anak.
";1;;1;;Musnah;
PK 05.04;Substantif;"Remisi : Naskah-naskah yang berkaitan dengan kegiatan
pengurangan masa pidana yang diberikan kepada
Narapidana dan Anak yang berkonflik dengan hukum.";1;;1;;Musnah;
PK 05.05;Substantif;"Pemindahan/Mutasi WBP : Naskah-naskah yang berkaitan dengan kegiatan pemindahan WBP untuk kepentingan pembinaan, keamanan dan ketertiban, dan lainnya yang dianggap perlu
";1;;1;;Musnah;
PK 05.06;Substantif;"Peminjaman/Bon Tahanan, Narapidana dan Anak : Naskah-naskah yang berkaitan dengan kegiatan peminjaman tahanan, narapidana dan anak untuk kepentingan penyidikan, pemindahan sementara untuk kepentingan berobat, menghadiri sidang PK dan lainnya yang dianggap perlu dan sifatnya sementara
";1;;1;;Musnah;
PK 05.07;Substantif;"Ijin Keluar Lapas : Naskah-naskah yang berkaitan dengan kegiatan keluar lapas izin berobat, izin luar biasa, dan izin dalam rangka
pembinaan.
";1;;1;;Musnah;
PK 05.08;Substantif;"Kegiatan Kerja dan Tenaga Kerja : Naskah-naskah yang berkaitan dengan kegiatan kerja dan produksi di UPT Penasyarakatan dan PNBP
- Pengembangan Kewirausahaan (Keterampilan/Minat Bakat)
- Tenaga Kerja Napi
- Kerja sama/Kemitraan
- Upah/Premi
";1;;1;;Musnah;
PK 05.09;Substantif;"Integrasi Narapidana dan Anak : Naskah-naskah yang berkaitan dengan kegiatan
- Pemberian Pembebasan Bersyarat (PB), Cuti Menjelang Bebas (CMB), Cuti Bersyarat (CB), Cuti Mengunjungi Keluarga (CMK) dan Asimilasi Pidana Umum dan Pidana Khusus
 
- Surat Keputusan Pemberian Pembebasan Bersyarat (PB), Cuti Menjelang Bebas (CMB), Cuti Bersyarat (CB), Cuti Mengunjungi Keluarga (CMK) dan Asimilasi Pidana Umum dan Pidana Khusus
";1;;1;;Musnah;
PK 05.10;Substantif;"Sidang Tim Pengamat Pemasyarakatan : Naskah-naskah yang berkaitan dengan kegiatan sidang tim pengamat pemasyarakatan
";1;;1;;Musnah;
PK 05.11;Substantif;"Bantuan/Penyuluhan Hukum : Naskah-naskah yang berkaitan dengan kegiatan Pelayanan Bantuan/Penyuluhan Hukum terhadap Tahanan,
Narapidana dan Anak yang berkonflik dengan hukum.
";1;;1;;Musnah;
PK 05.12;Substantif;"Pengeluaran WBP : Naskah-naskah yang berkaitan dengan kegiatan pengeluaran WBP seperti Bebas Murni, Bebas Demi Hukum, dan
pengeluaran lainnya.
";1;;1;;Musnah;
